"Player Height {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
1.534,30.206,257.406,8.040,3.365,0.000,8.406,"Bathroom_door_handle_311 from [265.76] to [265.86]","Begining : [265.9]"
1.532,30.462,264.345,10.026,3.365,0.000,8.406,"Wall_WC_311 from [265.86] to [266.39]",
1.532,29.824,268.774,10.714,3.365,0.000,8.406,"Bathroom_Door_311 from [266.39] to [266.70]",
1.534,28.978,268.550,10.530,3.365,0.000,8.406,"Wall_WC_311 from [266.70] to [267.31]",
1.540,26.416,268.685,10.043,3.170,0.000,8.394,"Wall_door_311 from [267.31] to [268.44]",
1.544,24.707,269.178,9.848,2.988,0.000,8.405,"WC_311.04 from [268.44] to [268.69]",
1.544,24.533,268.889,9.618,2.805,0.000,8.425,"Wall_right_311 from [268.69] to [269.72]",
1.543,24.829,268.878,9.407,2.614,0.000,8.445,"XR Origin from [269.72] to [270.30]",
1.543,25.049,269.627,9.253,2.429,0.000,8.466,"Wall_right_311 from [270.30] to [270.61]",
1.543,25.432,269.100,8.800,2.274,0.000,8.538,"shower_doors_311.01 from [270.61] to [271.27]",
1.541,26.790,264.593,7.896,2.162,0.000,8.696,"Bathroom_door_frame_left_311 from [271.27] to [271.43]",
1.538,28.791,254.900,3.603,2.032,0.000,8.841,"Wall_right_311 from [271.43] to [271.59]",
1.538,28.766,253.868,3.993,1.892,0.000,8.989,"Bathroom_door_frame_left_311 from [271.59] to [271.74]",
1.537,29.009,255.155,5.306,1.758,0.000,9.141,"Bathroom_Door_311 from [271.74] to [274.03]",
1.537,29.944,244.656,3.648,1.617,0.000,9.242,"Wall_right_311 from [274.03] to [274.85]",
1.528,33.950,226.181,0.151,1.617,0.000,9.242,"Bathroom_Door_311 from [274.85] to [275.71]",
1.524,35.467,218.286,358.573,1.617,0.000,9.242,"Wall_right_311 from [275.71] to [276.01]",
1.519,37.256,205.980,356.336,1.617,0.000,9.242,"Bed_backrest_311 from [276.01] to [276.16]",
1.517,37.572,195.626,354.277,1.617,0.000,9.242,"Cushion_right_311 from [276.16] to [276.30]",
1.516,37.974,191.090,353.837,1.612,0.000,9.111,"Cushion_left_311 from [276.30] to [276.56]",
1.515,38.370,190.887,355.787,1.594,0.000,8.955,"Wall_window_311 from [276.56] to [277.57]",
1.515,38.458,190.508,357.375,1.600,0.000,8.950,"Small_Window_Right_311 from [277.57] to [277.70]",
1.514,38.720,190.071,358.138,1.600,0.000,8.950,"Wall_window_311 from [277.70] to [277.83]",
1.513,39.040,189.360,358.893,1.600,0.000,8.950,"Wall_right_311 from [277.83] to [277.96]",
1.512,39.551,188.468,359.084,1.600,0.000,8.950,"Ceiling_311 from [277.96] to [278.09]",
1.511,39.561,188.186,358.989,1.600,0.000,8.950,"Wall_right_311 from [278.09] to [278.52]",
1.513,38.671,189.052,359.432,1.600,0.000,8.950,"Wall_bathroom_door_311 from [278.52] to [278.94]",
1.513,38.127,191.474,0.961,1.600,0.000,8.950,"Closet_311 from [278.94] to [279.21]",
1.515,36.847,193.493,2.129,1.646,0.000,9.076,"Closet_door_left_311 from [279.21] to [279.49]",
1.515,36.347,194.235,2.970,1.684,0.000,9.232,"Closet_311 from [279.49] to [280.03]",
1.515,36.171,192.931,2.908,1.709,0.000,9.381,"Wall_bathroom_311 from [280.03] to [280.17]",
1.516,35.833,190.940,2.640,1.728,0.000,9.528,"Wall_bathroom_door_311 from [280.17] to [280.45]",
1.519,34.604,184.306,1.664,1.733,0.000,9.672,"Wall_right_311 from [280.45] to [280.89]",
1.523,32.863,170.523,357.887,1.775,0.000,9.810,"Bathroom_Door_311 from [280.89] to [281.04]",
1.526,31.394,156.196,354.234,1.877,0.000,9.920,"Wall_bathroom_door_311 from [281.04] to [281.46]",
1.530,30.720,140.685,350.495,1.970,0.000,9.943,"Wall_bathroom_311 from [281.46] to [281.59]",
1.536,28.825,140.587,352.487,1.970,0.000,9.936,"Closet_311 from [281.59] to [282.02]",
1.540,27.596,143.842,354.363,1.970,0.000,9.896,"Closet_door_left_311 from [282.02] to [282.81]",
1.542,26.643,144.362,354.302,1.989,0.000,9.805,"Closet_311 from [282.81] to [283.09]",
1.543,26.469,146.456,354.989,1.987,0.000,9.597,"Wall_bathroom_311 from [283.09] to [283.51]",
1.543,26.574,147.704,355.367,1.966,0.000,9.390,"Wall_bathroom_door_311 from [283.51] to [283.97]",
1.543,26.604,145.198,354.685,2.084,0.000,9.299,"Wall_bathroom_311 from [283.97] to [284.27]",
1.543,26.512,137.831,352.636,2.238,0.000,9.260,"Closet_door_left_311 from [284.27] to [284.41]",
1.543,26.476,133.330,351.737,2.413,0.000,9.262,"TriggerHelp from [284.41] to [287.90]",
1.544,26.435,131.640,352.354,2.587,0.000,9.205,"Door_311 from [287.90] to [288.53]",
1.542,27.398,134.454,353.846,2.587,0.000,9.205,"Closet_door_right_311 from [288.53] to [288.64]",
1.541,28.230,138.058,355.467,2.587,0.000,9.205,"Closet_handle_right_311 from [288.64] to [288.76]",
1.539,28.906,139.240,355.862,2.587,0.000,9.205,"Closet_door_left_311 from [288.76] to [288.90]",
1.537,29.922,139.129,355.220,2.587,0.000,9.205,"Countertop_311 from [288.90] to [289.05]",
1.535,30.339,139.673,355.482,2.587,0.000,9.205,"Cupboard_311 from [289.05] to [289.35]",
1.533,31.118,140.710,355.382,2.587,0.000,9.205,"Countertop_311 from [289.35] to [289.49]",
1.534,31.065,141.164,356.283,2.587,0.000,9.205,"Mircrowave_311 from [289.49] to [289.72]",
1.529,32.897,139.133,357.454,2.587,0.000,9.205,"Closet_311 from [289.72] to [289.90]",
1.528,33.320,137.638,356.970,2.587,0.000,9.205,"Closet_door_left_311 from [289.90] to [290.06]",
1.528,33.596,137.460,357.181,2.587,0.000,9.205,"Closet_door_right_311 from [290.06] to [291.64]",
1.527,33.797,136.949,357.524,2.587,0.000,9.205,"TriggerHelp from [291.64] to [292.34]",
1.524,34.600,136.295,356.972,2.587,0.000,9.205,"SmokePlane (07) from [292.34] to [294.30]",
1.522,35.386,138.467,356.494,2.587,0.000,9.205,"Door_311 from [294.30] to [295.05]",
1.522,35.336,139.696,356.509,2.587,0.000,9.205,"TriggerHelp from [295.05] to [296.05]",
1.523,35.032,142.294,357.014,2.587,0.000,9.205,"SmokePlane (07) from [296.05] to [296.34]",
1.523,35.235,147.502,358.309,2.587,0.000,9.205,"TriggerHelp from [296.34] to [296.61]",
1.519,36.612,158.224,0.965,2.587,0.000,9.205,"NPC Evacuation Trigger from [296.61] to [296.86]",
1.518,36.726,160.927,1.450,2.587,0.000,9.205,"NPC Grabbable from [296.86] to [297.17]",
1.519,36.512,161.575,1.017,2.590,0.000,9.084,"SmokePlane (24) from [297.17] to [297.60]",
1.520,35.967,161.385,0.658,2.522,0.000,8.963,"SmokePlane (3) from [297.60] to [297.77]",
1.523,35.064,161.219,0.533,2.442,0.000,8.857,"SmokePlane (24) from [297.77] to [297.91]",
1.526,33.933,160.890,0.739,2.357,0.000,8.756,"NPC Grabbable from [297.91] to [298.05]",
1.527,33.536,160.194,0.775,2.310,0.000,8.653,"SmokePlane (25) from [298.05] to [298.52]",
1.530,32.287,153.048,359.115,2.511,0.000,8.588,"Wall_door_30 from [298.52] to [298.81]",
1.534,30.293,137.641,354.699,2.718,0.000,8.592,"Door_302 from [298.81] to [299.55]",
1.538,28.059,123.238,351.905,2.909,0.000,8.634,"Wall_door_302 from [299.55] to [299.69]",
1.539,27.544,117.931,351.902,3.094,0.000,8.689,"Wall_door_30 from [299.69] to [299.85]",
1.540,26.790,112.783,352.401,3.272,0.000,8.761,"Door_frame_left_302 from [299.85] to [300.00]",
1.543,25.239,108.333,352.670,3.409,0.000,8.867,"Door_302 from [300.00] to [300.14]",
1.549,21.937,102.560,353.289,3.462,0.000,9.029,"Door_frame_left_302 from [300.14] to [300.29]",
1.556,19.040,98.993,353.934,3.482,0.000,9.203,"Wall_door_30 from [300.29] to [300.72]",
1.560,17.187,98.546,354.919,3.496,0.000,9.372,"Door_frame_left_302 from [300.72] to [300.87]",
1.565,15.018,98.559,355.142,3.508,0.000,9.528,"Wall_door_302 from [300.87] to [301.03]",
1.567,14.327,99.764,355.480,3.520,0.000,9.692,"Door_304 from [301.03] to [301.18]",
1.568,13.484,101.970,355.509,3.530,0.000,9.855,"Corridor_floor_north_south_02 from [301.18] to [301.33]",
1.570,12.683,103.604,355.393,3.545,0.000,10.020,"TriggerZone from [301.33] to [301.63]",
1.572,11.560,105.253,355.438,3.565,0.000,10.192,"Corridor_wall_south from [301.63] to [302.52]",
1.575,10.297,108.108,355.457,3.590,0.000,10.354,"Corridor_ceiling_north_south_02 from [302.52] to [302.65]",
1.582,6.589,112.668,356.223,3.621,0.000,10.507,"Corridor_wall_south from [302.65] to [304.29]",
1.601,357.024,123.562,358.142,3.677,0.000,10.657,"Door_frame_left_302 from [304.29] to [304.42]",
1.615,349.501,131.192,359.938,3.759,0.000,10.805,"Door_304 from [304.42] to [304.54]",
1.622,345.537,135.642,359.910,3.856,0.000,10.949,"Wall_door_302 from [304.54] to [304.80]",
1.621,347.169,149.791,357.471,3.972,0.000,11.067,"SmokePlane (07) from [304.80] to [305.61]",
1.609,354.723,169.142,355.754,4.121,0.000,11.157,"Wall_door_302 from [305.61] to [305.74]",
1.596,2.447,195.488,356.898,4.305,0.000,11.161,"Door_frame_left_304 from [305.74] to [305.88]",
1.587,6.575,214.825,358.768,4.407,0.000,11.135,"Corridor_wall_south from [305.88] to [307.69]",
1.583,7.487,228.062,359.818,4.407,0.000,11.135,"TriggerZone from [307.69] to [308.69]",
1.581,7.175,244.812,2.210,4.407,0.000,11.135,"Wall_door_300 from [308.69] to [309.06]",
1.580,7.893,250.924,2.096,4.407,0.000,11.135,"Door_frame_left_300 from [309.06] to [309.19]",
1.578,8.440,253.008,1.845,4.407,0.000,11.135,"Wall_door_302 from [309.19] to [309.69]",
1.578,8.373,253.173,1.839,4.307,0.000,11.270,"Door_300 from [309.69] to [309.82]",
1.580,7.444,251.710,1.785,4.219,0.000,11.270,"TriggerZone from [309.82] to [310.18]",
1.584,5.232,248.194,1.173,4.126,0.000,11.270,"Corridor_wall_south from [310.18] to [310.55]",
1.587,3.532,244.338,0.340,4.007,0.000,11.285,"TriggerZone from [310.55] to [310.91]",
1.591,1.641,242.998,0.314,4.007,0.000,11.285,"Corridor_wall_south from [310.91] to [316.66]",
1.591,1.264,239.643,0.218,4.007,0.000,11.285,"Emergency_door_south_door_right from [316.66] to [317.54]",
1.590,1.902,235.872,0.011,4.007,0.000,11.285,"Emergency_door_south_door_left from [317.54] to [318.04]",
1.585,4.318,226.567,1.971,4.007,0.000,11.285,"Emergency_door_south_door_right from [318.04] to [318.26]",
1.573,10.166,213.276,4.180,4.007,0.000,11.285,"Corridor_wall_south from [318.26] to [318.49]",
1.564,15.050,192.909,1.718,4.007,0.000,11.285,"TriggerZone from [318.49] to [319.30]",
1.564,15.457,190.079,1.193,4.007,0.000,11.285,"Wall_door_300 from [319.30] to [319.48]",
1.564,15.680,193.045,1.811,4.007,0.000,11.285,"Door_300 from [319.48] to [319.68]",
1.566,15.287,198.832,2.299,4.007,0.000,11.285,"SmokePlane (25) from [319.68] to [319.98]",
1.572,12.504,211.727,4.316,4.007,0.000,11.285,"Corridor_floor_north_south_03 from [319.98] to [320.08]",
1.577,9.139,229.539,5.874,4.007,0.000,11.285,"SmokePlane (25) from [320.08] to [326.77]",
1.578,8.633,235.173,4.067,3.876,0.000,11.198,"SmokePlane (13) from [326.77] to [327.81]",
1.578,8.744,238.203,3.014,3.725,0.000,11.127,"SmokePlane (11) from [327.81] to [331.92]",
1.577,9.065,240.344,2.596,3.572,0.000,11.086,"Door_304 from [331.92] to [332.13]",
1.578,9.034,241.589,2.220,3.406,0.000,11.070,"Door_frame_left_304 from [332.13] to [332.34]",
1.578,9.223,240.851,1.997,3.238,0.000,11.154,"SmokePlane (10) from [332.34] to [332.87]",
1.578,9.331,239.913,1.885,3.094,0.000,11.256,"Wall_door_302 from [332.87] to [334.35]",
1.578,9.379,240.074,1.625,3.094,0.000,11.256,"Wall_door_304 from [334.35] to [334.70]",
1.577,9.464,239.728,1.112,3.094,0.000,11.256,"Wall_door_302 from [334.70] to [334.99]",
1.577,9.627,239.089,1.069,3.094,0.000,11.256,"SmokePlane (09) from [334.99] to [335.52]",
1.577,9.862,238.839,1.087,3.094,0.000,11.256,"SmokePlane (07) from [335.52] to [336.60]",
1.576,10.071,238.505,1.129,3.094,0.000,11.256,"SmokePlane (08) from [336.60] to [337.62]",
1.575,10.803,233.653,1.074,3.094,0.000,11.256,"SmokePlane (6) from [337.62] to [338.72]",
1.573,11.884,223.642,0.535,3.054,0.000,11.209,"SmokePlane (5) from [338.72] to [339.65]",
1.573,12.350,214.516,0.026,2.987,0.000,11.099,"SmokePlane (4) from [339.65] to [340.56]",
